geography,year,question_code,question_text,response_category,response_variable,gender,value
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,19
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,17
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,36
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,23
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,29
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,26
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,24
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,25
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,22
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,18
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,20
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,32
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,25
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,28
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,29
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,24
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,26
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Male,23
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Female,12
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",1-2,sog_w2_hrs_dmstc_12,Combined,18
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,16
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,18
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,17
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,12
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,9
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,11
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,20
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,10
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,15
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,16
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,13
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,15
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,23
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,16
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,20
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,18
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,21
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,19
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,21
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,9
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,15
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,12
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,17
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,15
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,20
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,19
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,20
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,15
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,12
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,14
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,15
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,16
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,16
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,19
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,16
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,17
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Male,12
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Female,18
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",2-3,sog_w2_hrs_dmstc_23,Combined,14
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,11
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,11
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,11
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,12
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,7
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,11
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,13
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,16
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,15
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,9
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,11
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,10
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,12
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,16
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,14
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,10
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,10
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,10
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,9
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,9
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,9
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,7
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,8
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,8
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,9
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,14
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,11
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,4
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,12
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,8
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,10
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,15
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,13
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,14
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,14
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,14
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Male,13
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Female,9
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",3-4,sog_w2_hrs_dmstc_34,Combined,11
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,8
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,11
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,9
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,13
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,19
India,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,15
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,7
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,17
Malaysia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,12
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,4
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,7
Singapore,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,6
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,5
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,9
Australia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,7
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,4
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,9
New Zealand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,7
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,15
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,13
Philippines,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,14
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,1
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,6
Taiwan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,4
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,4
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,11
Japan,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,7
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,3
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,3
South Korea,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,3
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,7
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,8
Thailand,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,8
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,5
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,7
Vietnam,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,6
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Male,4
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Female,10
Myanmar,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",4-5,sog_w2_hrs_dmstc_45,Combined,7
Indonesia,2021,B.24,"On a typical day, how many hours per day do you spend on domestic tasks or family care activities? (for example, taking care of children, cooking and cleaning)",5-7,sog_w2_hrs_dmstc_57,Male,6
